,company_name,job_title,experince,salary,staticurl
131,Turing Global India,Kafka Data Developer with Java and React Knowledge,1-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
132,Turing Global India,ML Engineer,1-4 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
133,Turing Global India,Machine Learning Data Scientist,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
134,Turing Global India,Machine Learning Engineer,1-4 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
135,Turing Global India,NLP Engineer,1-4 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
136,Turing Global India,Python Analyst,0-3 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
137,Turing Global India,Python Data Science Analyst,1-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
138,Turing Global India,Python Data Science Professional,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
141,Turing Global India,Python Developers (Junior and Senior),2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
140,Turing Global India,Python Developer,0-4 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
130,Turing Global India,Java Kafka Backend Engineer (Real-time Data Processing),1-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
142,Turing Global India,Python LLM Data Scientist/Analyst,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
143,Turing Global India,Remote Data Science Analyst (Python),2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
144,Turing Global India,Remote Data Scientist - Python,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
145,Turing Global India,Remote Python Data Science Professional,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
146,Turing Global India,Senior Python/Django Developer,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
147,Turing Global India,"Streaming Data Engineer (Java, Kafka)",1-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
139,Turing Global India,Python Data Scientist,0-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
129,Turing Global India,Java Data Engineer with Kafka Experience,1-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
119,Turing Global India,Data Engineering Expert in Java Technologies,1-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
127,Turing Global India,Full Stack Data Engineer,1-4 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
110,Turing Global India,Backend Python Engineer,1-3 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
111,Turing Global India,DS Analyst,0-3 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
112,Turing Global India,Data Analyst,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
128,Turing Global India,Fullstack (BE Heavy) Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
114,Turing Global India,Data Engineer,1-3 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
115,Turing Global India,Data Engineer,1-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
116,Turing Global India,Data Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
117,Turing Global India,Data Engineer with Java Expertise,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
113,Turing Global India,Data Analyst/Data Scientist,0-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
120,Turing Global India,Data Science Analyst,1-4 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
121,Turing Global India,Data Science Analyst (Python),1-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
122,Turing Global India,Data Scientist,0-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
123,Turing Global India,Data Scientist,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
124,Turing Global India,Data Scientist - Python,0-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
125,Turing Global India,Data Scientist / ML Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
126,Turing Global India,Data Scientist/Engineer (Machine Learning with PyTorch),1-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
118,Turing Global India,Data Engineer with Java and Kafka,2-5 Yrs,Not disclosed,https://www.naukri.com/turing-global-india-jobs-careers-5750912
148,Turingsxyz,Change Magician - Machine Learning Engineer,1-4 Yrs,Not disclosed,https://www.naukri.com/turingsxyz-jobs-careers-5558134
151,Uplers,ML Engineer,1-3 Yrs,10-12 Lacs PA,https://www.naukri.com/uplers-jobs-careers-897026
149,Uplers,Data Analyst,1-4 Yrs,Not disclosed,https://www.naukri.com/uplers-jobs-careers-897026
150,Uplers,Data Scientist,1-3 Yrs,10-20 Lacs PA,https://www.naukri.com/uplers-jobs-careers-897026
152,Vertex Computer Systems,Google Data Engineer,1-3 Yrs,Not disclosed,https://www.naukri.com/vertex-computer-systems-jobs-careers-10753
153,Vitana,Business Analyst,2-7 Yrs,Not disclosed,https://www.naukri.com/vitana-jobs-careers-2019120
154,Whizdm Innovations,Business Analyst,1-3 Yrs,Not disclosed,https://www.naukri.com/whizdm-innovations-jobs-careers-2154762
155,Witqualis Technologies,Azure Data Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/witqualis-technologies-jobs-careers-124524070
156,ZIFF DAVIS PERFORMANCE MARKETING,FP&A Analyst - UK Shift,2-5 Yrs,Not disclosed,https://www.naukri.com/ziff-davis-performance-marketing-jobs-careers-166279
157,ZS,Data Science Associate,1-3 Yrs,7.5-17.5 Lacs PA,https://www.naukri.com/zs-jobs-careers-68320
158,Zoftsolutions,Data Scientist,1-2 Yrs,Not disclosed,https://www.naukri.com/zoftsolutions-jobs-careers-2541656
159,fifthnote,Data Scientist,2-5 Yrs,10-18 Lacs PA,https://www.naukri.com/fifthnote-jobs-careers-4603018
